Epochs,Training Accuracy,Val. Accuracy,Training Loss,Val. Loss
1,0.11,0.1,14.25,15.04
2,0.11,0.1,14.27,15.04
3,0.11,0.1,14.27,15.04
4,0.11,0.1,14.27,15.04
5,0.11,0.1,14.27,15.04
6,0.11,0.1,14.27,15.04
7,0.11,0.1,14.27,15.04
8,0.11,0.1,14.27,15.04
9,0.11,0.1,14.27,15.04
10,0.11,0.1,14.27,15.04
11,0.11,0.1,14.27,15.04
12,0.11,0.1,14.27,15.04
13,0.11,0.1,14.27,15.04
14,0.11,0.1,14.27,15.04
15,0.11,0.1,14.27,15.04
16,0.11,0.1,14.27,15.04
17,0.11,0.1,14.27,15.04
18,0.11,0.1,14.26,15.04
19,0.11,0.1,14.27,15.04
20,0.11,0.1,14.27,15.04
21,0.11,0.1,14.27,15.04
22,0.11,0.1,14.27,15.04
23,0.11,0.1,14.27,15.04
24,0.11,0.1,14.27,15.04
25,0.11,0.1,14.27,15.04
26,0.11,0.1,14.27,15.04
27,0.11,0.1,14.27,15.04
28,0.11,0.1,14.27,15.04
29,0.11,0.1,14.27,15.04
30,0.11,0.1,14.27,15.04
